"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 06 06:10:42 BOT 2023","Fri Oct 06 06:10:58 BOT 2023","15165","","Change Languages","","","","Change the country from Mexico to Brazil and verify the language is correct",""
"failed","Fri Oct 06 06:11:20 BOT 2023","Fri Oct 06 06:11:44 BOT 2023","23830","","Change Languages","","","","Change the country from Brazil to Colombia and verify the language is correct",""
